MONTH,n_measurements,mean_flux_mol,std_flux_mol,mean_flux_g,mean_flux_kgm2s,total_kg_day,total_tonnes_day
1,30,0.9466300000000001,0.6717538789590662,41.661186300000004,4.8218965625e-07,16580318.923673999,16580.318923674
2,28,0.4871964285714286,0.43591575849616976,21.44151482142857,2.481656808035714e-07,8533294.068632143,8533.294068632142
3,31,0.9441322580645162,0.6443635637263054,41.55126067741935,4.809173689516129e-07,16536570.724399354,16536.570724399353
4,30,0.7872326666666667,1.980719236470348,34.64610966,4.0099663958333326e-07,13788458.722486796,13788.458722486796
5,31,0.4897354838709677,0.3402142212963151,21.55325864516129,2.494590120967742e-07,8577765.87560129,8577.76587560129
6,29,0.993815337424138,0.6811125010864434,43.73781300003631,5.062246875004203e-07,17406774.81775445,17406.774817754453
7,31,0.48152783627741935,0.4117955747478158,21.192040074569228,2.4527824160381046e-07,8434008.108877061,8434.00810887706
8,31,0.9370201518612903,0.651782416592857,41.23825688341539,4.772946398543447e-07,16412001.474461656,16412.001474461656
9,30,0.7743495921766665,1.9904131406188736,34.0791255516951,3.9443432351498955e-07,13562810.387063613,13562.810387063613
10,31,0.49455713836451615,0.32215622029667473,21.765459659422355,2.519150423544254e-07,8662217.635256909,8662.21763525691
11,29,0.9645790423103449,0.6764655211372429,42.45112365207827,4.913324496768319e-07,16894698.191054113,16894.698191054114
12,30,0.4606459786966666,0.4210995186126668,20.2730295224403,2.3464154539861459e-07,8068260.289340791,8068.260289340791
