MONTH,mean_kgm2s,std_kgm2s,n,tday
1,1.8323850925925925e-09,1.086046158389288e-09,30,3.9579518
2,1.3403715277777776e-09,8.941682564930583e-10,28,2.8952024999999995
3,1.994990827956989e-09,9.837336277337213e-10,31,4.309180188387096
4,9.710220333333333e-10,8.705366093618011e-10,20,2.097407592
5,4.910735579710144e-10,1.0015360399165288e-09,23,1.0607188852173912
6,8.081465686953703e-08,5.880719365102134e-08,12,174.55965883819997
7,1.2366235464020833e-07,7.261001122089148e-08,16,267.11068602284996
8,9.45501821181111e-08,5.47637301817015e-08,10,204.22839337512
9,1.0975123900897436e-07,5.894566759364062e-08,13,237.06267625938463
10,7.783457475572221e-08,7.25131106328949e-08,10,168.12268147235997
11,1.1880779336688033e-07,7.718565531725943e-08,13,256.62483367246153
12,9.279670601792592e-08,8.661884794991282e-08,15,200.44088499871998
