Month,GEOS_CO2_ppm,GEOS_CH4_ppb,OCO2_XCO2_ppm,CO2_bias_ppm,TROPOMI_XCH4_ppb,CH4_bias_ppb,TROPOMI_SO2_DU,Ground_H2S_kgm2s
202301,253.86,3166.07,418.22,-164.36,1909.6,1256.4700000000003,5.525,1.8323850925925922e-09
202302,237.41,3271.14,419.69,-182.28,1901.97,1369.1699999999998,5.6612,1.3403715277777774e-09
202303,241.56,3282.77,419.5,-177.94,1899.56,1383.21,5.2142,1.994990827956989e-09
202304,241.29,3271.28,419.39,-178.1,1906.27,1365.0100000000002,5.1973,9.710220333333331e-10
202305,238.87,3277.82,418.87,-180.0,1895.22,1382.6000000000001,5.1349,4.910735579710143e-10
202306,245.05,3280.12,418.68,-173.63,1886.94,1393.1799999999998,5.3543,8.081465686953703e-08
202307,238.59,3281.28,418.46,-179.86999999999998,1891.31,1389.9700000000003,5.4098,1.2366235464020833e-07
202308,241.05,3282.11,418.81,-177.76,1902.83,1379.2800000000002,5.4062,9.45501821181111e-08
202309,240.98,3269.27,419.21,-178.23,1889.92,1379.35,5.0636,1.0975123900897437e-07
202310,237.12,3268.76,,,1891.18,1377.5800000000002,4.8762,7.783457475572221e-08
202311,243.33,3276.98,,,1895.53,1381.45,4.7502,1.1880779336688033e-07
